"vd";"id";"u"
0.2405;0.12642;0
0.241;0.127879;0
0.2415;0.129353;0
0.242;0.130842;0
0.2425;0.132346;0
0.243;0.133865;0
0.2435;0.1354;0
0.244;0.13695;0
0.2445;0.138515;0
0.245;0.140096;0
0.2455;0.141693;0
0.246;0.143305;0
0.2465;0.144934;0
0.247;0.146579;0
0.2475;0.148239;0
0.248;0.149917;0
0.2485;0.15161;0
0.249;0.15332;0
0.2495;0.155047;0
0.25;0.15679;0
0.2505;0.158551;0
0.251;0.160328;0
0.2515;0.162123;0
0.252;0.163934;0
0.2525;0.165763;0
0.253;0.167609;0
0.2535;0.169473;0
0.254;0.171354;0
0.2545;0.173254;0
0.255;0.175171;0
0.2555;0.177106;0
0.256;0.179059;0
0.2565;0.18103;0
0.257;0.183019;0
0.2575;0.185027;0
0.258;0.187053;0
0.2585;0.189098;0
0.259;0.191162;0
0.2595;0.193244;0
0.26;0.195345;0
0.2605;0.197466;0
0.261;0.199605;0
0.2615;0.201764;0
0.262;0.203942;0
0.2625;0.206139;0
0.263;0.208356;0
0.2635;0.210592;0
0.264;0.212849;0
0.2645;0.215125;0
0.265;0.217421;0
0.2655;0.219737;0
0.266;0.222073;0
0.2665;0.224429;0
0.267;0.226805;0
0.2675;0.229202;0
0.268;0.23162;0
0.2685;0.234058;0
0.269;0.236516;0
0.2695;0.238996;0
0.27;0.241496;0
0.2705;0.244018;0
0.271;0.24656;0
0.2715;0.249123;0
0.272;0.251708;0
0.2725;0.254314;0
0.273;0.256941;0
0.2735;0.25959;0
0.274;0.26226;0
0.2745;0.264952;0
0.275;0.267666;0
0.2755;0.270401;0
0.276;0.273158;0
0.2765;0.275937;0
0.277;0.278739;0
0.2775;0.281562;0
0.278;0.284408;0
0.2785;0.287275;0
0.279;0.290165;0
0.2795;0.293078;0
0.28;0.296013;0
0.2805;0.29897;0
0.281;0.30195;0
0.2815;0.304953;0
0.282;0.307979;0
0.2825;0.311027;0
0.283;0.314098;0
0.2835;0.317192;0
0.284;0.320309;0
0.2845;0.323449;0
0.285;0.326612;0
0.2855;0.329799;0
0.286;0.333008;0
0.2865;0.336241;0
0.287;0.339497;0
0.2875;0.342777;0
0.288;0.34608;0
0.2885;0.349406;0
0.289;0.352756;0
0.2895;0.35613;0
0.29;0.359527;0
0.2905;0.362948;0
0.291;0.366393;0
0.2915;0.369861;0
0.292;0.373353;0
0.2925;0.376869;0
0.293;0.380409;0
0.2935;0.383973;0
0.294;0.387561;0
0.2945;0.391172;0
0.295;0.394808;0
0.2955;0.398468;0
0.296;0.402152;0
0.2965;0.40586;0
0.297;0.409592;0
0.2975;0.413348;0
0.298;0.417129;0
0.2985;0.420933;0
0.299;0.424762;0
0.2995;0.428616;0
0.3;0.432493;0
0.3005;0.436395;0
0.301;0.440321;0
0.3015;0.444272;0
0.302;0.448246;0
0.3025;0.452246;0
0.303;0.456269;0
0.3035;0.460317;0
0.304;0.46439;0
0.3045;0.468486;0
0.305;0.472608;0
0.3055;0.476753;0
0.306;0.480923;0
0.3065;0.485118;0
0.307;0.489337;0
0.3075;0.49358;0
0.308;0.497848;0
0.3085;0.50214;0
0.309;0.506457;0
0.3095;0.510798;0
0.31;0.515164;0
0.3105;0.519554;0
0.311;0.523968;0
0.3115;0.528407;0
0.312;0.53287;0
0.3125;0.537358;0
0.313;0.54187;0
0.3135;0.546406;0
0.314;0.550967;0
0.3145;0.555552;0
0.315;0.560162;0
0.3155;0.564796;0
0.316;0.569454;0
0.3165;0.574136;0
0.317;0.578842;0
0.3175;0.583573;0
0.318;0.588328;0
0.3185;0.593107;0
0.319;0.597911;0
0.3195;0.602738;0
0.32;0.60759;0
0.3205;0.612466;0
0.321;0.617365;0
0.3215;0.622289;0
0.322;0.627237;0
0.3225;0.632209;0
0.323;0.637204;0
0.3235;0.642224;0
0.324;0.647267;0
0.3245;0.652334;0
0.325;0.657426;0
0.3255;0.66254;0
0.326;0.667679;0
0.3265;0.672841;0
0.327;0.678027;0
0.3275;0.683237;0
0.328;0.68847;0
0.3285;0.693726;0
0.329;0.699006;0
0.3295;0.70431;0
0.33;0.709637;0
0.3305;0.714987;0
0.331;0.720361;0
0.3315;0.725757;0
0.332;0.731177;0
0.3325;0.736621;0
0.333;0.742087;0
0.3335;0.747576;0
0.334;0.753089;0
0.3345;0.758624;0
0.335;0.764182;0
0.3355;0.769764;0
0.336;0.775368;0
0.3365;0.780994;0
0.337;0.786644;0
0.3375;0.792316;0
0.338;0.798011;0
0.3385;0.803728;0
0.339;0.809468;0
0.3395;0.81523;0
0.34;0.821015;0
0.3405;0.826822;0
0.341;0.832651;0
0.3415;0.838502;0
0.342;0.844376;0
0.3425;0.850272;0
0.343;0.856189;0
0.3435;0.862129;0
0.344;0.868091;0
0.3445;0.874074;0
0.345;0.880079;0
0.3455;0.886106;0
0.346;0.892155;0
0.3465;0.898225;0
0.347;0.904317;0
0.3475;0.91043;0
0.348;0.916565;0
0.3485;0.922721;0
0.349;0.928898;0
0.3495;0.935097;0
0.35;0.941317;0
0.3505;0.947558;0
0.351;0.95382;0
0.3515;0.960102;0
0.352;0.966406;0
0.3525;0.972731;0
0.353;0.979076;0
0.3535;0.985442;0
0.354;0.991829;0
0.3545;0.998236;0
0.355;1.00466;0
0.3555;1.01111;0
0.356;1.01758;0
0.3565;1.02407;0
0.357;1.03058;0
0.3575;1.03711;0
0.358;1.04366;0
0.3585;1.05023;0
0.359;1.05682;0
0.3595;1.06343;0
0.36;1.07005;0
0.3605;1.0767;0
0.361;1.08337;0
0.3615;1.09006;0
0.362;1.09677;0
0.3625;1.1035;0
0.363;1.11024;0
0.3635;1.11701;0
0.364;1.12379;0
0.3645;1.1306;0
0.365;1.13742;0
0.3655;1.14426;0
0.366;1.15113;0
0.3665;1.15801;0
0.367;1.16491;0
0.3675;1.17182;0
0.368;1.17876;0
0.3685;1.18572;0
0.369;1.19269;0
0.3695;1.19968;0
0.37;1.20669;0
0.3705;1.21372;0
0.371;1.22077;0
0.3715;1.22784;0
0.372;1.23492;0
0.3725;1.24202;0
0.373;1.24914;0
0.3735;1.25628;0
0.374;1.26344;0
0.3745;1.27061;0
0.375;1.27781;0
0.3755;1.28501;0
0.376;1.29224;0
0.3765;1.29949;0
0.377;1.30675;0
0.3775;1.31403;0
0.378;1.32132;0
0.3785;1.32864;0
0.379;1.33597;0
0.3795;1.34332;0
0.38;1.35068;0
0.3805;1.35807;0
0.381;1.36547;0
0.3815;1.37288;0
0.382;1.38031;0
0.3825;1.38776;0
0.383;1.39523;0
0.3835;1.40271;0
0.384;1.41021;0
0.3845;1.41773;0
0.385;1.42526;0
0.3855;1.43281;0
0.386;1.44038;0
0.3865;1.44796;0
0.387;1.45555;0
0.3875;1.46317;0
0.388;1.4708;0
0.3885;1.47844;0
0.389;1.4861;0
0.3895;1.49378;0
0.39;1.50147;0
0.3905;1.50918;0
0.391;1.5169;0
0.3915;1.52464;0
0.392;1.5324;0
0.3925;1.54017;0
0.393;1.54795;0
0.3935;1.55575;0
0.394;1.56357;0
0.3945;1.5714;0
0.395;1.57925;0
0.3955;1.58711;0
0.396;1.59499;0
0.3965;1.60288;0
0.397;1.61078;0
0.3975;1.6187;0
0.398;1.62664;0
0.3985;1.63459;0
0.399;1.64255;0
0.3995;1.65053;0
0.4;1.65853;0
0.4005;1.66653;0
0.401;1.67456;0
0.4015;1.68259;0
0.402;1.69064;0
0.4025;1.69871;0
0.403;1.70679;0
0.4035;1.71488;0
0.404;1.72299;0
0.4045;1.73111;0
0.405;1.73924;0
0.4055;1.74739;0
0.406;1.75556;0
0.4065;1.76373;0
0.407;1.77192;0
0.4075;1.78013;0
0.408;1.78834;0
0.4085;1.79657;0
0.409;1.80482;0
0.4095;1.81307;0
0.41;1.82134;0
0.4105;1.82963;0
0.411;1.83792;0
0.4115;1.84623;0
0.412;1.85456;0
0.4125;1.86289;0
0.413;1.87124;0
0.4135;1.8796;0
0.414;1.88798;0
0.4145;1.89636;0
0.415;1.90476;0
0.4155;1.91318;0
0.416;1.9216;0
0.4165;1.93004;0
0.417;1.93849;0
0.4175;1.94695;0
0.418;1.95543;0
0.4185;1.96391;0
0.419;1.97241;0
0.4195;1.98093;0
0.42;1.98945;0
0.4205;1.99799;0
0.421;2.00653;0
0.4215;2.0151;0
0.422;2.02367;0
0.4225;2.03225;0
0.423;2.04085;0
0.4235;2.04946;0
0.424;2.05808;0
0.4245;2.06671;0
0.425;2.07535;0
0.4255;2.084;0
0.426;2.09267;0
0.4265;2.10135;0
0.427;2.11004;0
0.4275;2.11874;0
0.428;2.12745;0
0.4285;2.13617;0
0.429;2.14491;0
0.4295;2.15365;0
0.43;2.16241;0
0.4305;2.17118;0
0.431;2.17996;0
0.4315;2.18875;0
0.432;2.19755;0
0.4325;2.20636;0
0.433;2.21519;0
0.4335;2.22402;0
0.434;2.23286;0
0.4345;2.24172;0
0.435;2.25059;0
0.4355;2.25946;0
0.436;2.26835;0
0.4365;2.27725;0
0.437;2.28616;0
0.4375;2.29508;0
0.438;2.304;0
0.4385;2.31294;0
0.439;2.32189;0
0.4395;2.33085;0
0.44;2.33983;0
0.4405;2.34881;0
0.441;2.3578;0
0.4415;2.3668;0
0.442;2.37581;0
0.4425;2.38483;0
0.443;2.39386;0
0.4435;2.4029;0
0.444;2.41196;0
0.4445;2.42102;0
0.445;2.43009;0
0.4455;2.43917;0
0.446;2.44826;0
0.4465;2.45736;0
0.447;2.46647;0
0.4475;2.47559;0
0.448;2.48472;0
0.4485;2.49386;0
0.449;2.503;0
0.4495;2.51216;0
0.45;2.52133;0
0.4505;2.53051;0
0.451;2.53969;0
0.4515;2.54889;0
0.452;2.55809;0
0.4525;2.5673;0
0.453;2.57653;0
0.4535;2.58576;0
0.454;2.595;0
0.4545;2.60425;0
0.455;2.61351;0
0.4555;2.62278;0
0.456;2.63205;0
0.4565;2.64134;0
0.457;2.65064;0
0.4575;2.65994;0
0.458;2.66925;0
0.4585;2.67857;0
0.459;2.6879;0
0.4595;2.69724;0
0.46;2.70659;0
0.4605;2.71595;0
0.461;2.72531;0
0.4615;2.73468;0
0.462;2.74407;0
0.4625;2.75346;0
0.463;2.76285;0
0.4635;2.77226;0
0.464;2.78168;0
0.4645;2.7911;0
0.465;2.80053;0
0.4655;2.80997;0
0.466;2.81942;0
0.4665;2.82888;0
0.467;2.83834;0
0.4675;2.84782;0
0.468;2.8573;0
0.4685;2.86679;0
0.469;2.87629;0
0.4695;2.88579;0
0.47;2.89531;0
0.4705;2.90483;0
0.471;2.91436;0
0.4715;2.92389;0
0.472;2.93344;0
0.4725;2.94299;0
0.473;2.95255;0
0.4735;2.96212;0
0.474;2.9717;0
0.4745;2.98128;0
0.475;2.99087;0
0.4755;3.00047;0
0.476;3.01008;0
